#{"t_start": 1769913444.6606183, "env_id": "None"}
r,l,t
-2.0037,3,7302.228214
-2.0017,3,7326.482636
-2.0252,13,7409.722095
-2.00495,4,7436.880188
-2.00165,2,7453.709057
-2.00105,2,7470.702204
-2.005,6,7510.518123
-2.006,5,7544.921391
-2.00435,4,7570.104411
-2.00225,2,7584.62433
-2.00145,2,7599.993507
-2.00675,5,7636.544764
-2.00165,2,7651.156617
-2.00205,6,7694.722903
-2.00145,2,7712.36693
-2.00435,6,7770.709262
-2.005,7,7822.795603
-2.00615,4,7850.886628
-2.0205,11,7932.341168
-2.0037,4,7960.678415
-2.0045,3,7985.414213
-2.0044,6,8026.615682
-2.0029,3,8049.25526
-2.00125,2,8064.657321
-2.0025,6,8103.547694
-2.0066,6,8146.809757
-2.00085,2,8160.027315
-2.00525,7,8208.457645
-2.00435,4,8234.602588
-2.00245,2,8250.054529
-2.00625,6,8298.653544
-2.0025,4,8330.944067
-2.00525,7,8378.249088
-2.01025,6,8422.164372
-2.0021,3,8445.069946
-2.0025,3,8467.939467
-2.00105,2,8485.736982
-2.0041,3,8506.211919
-2.00725,8,8559.123423
-2.00125,2,8579.232255
-2.0058,6,8622.105829
-2.0037,3,8645.076799
-2.0091,8,8703.152596
-2.01175,9,8769.6176
-2.0029,3,8794.727053
-2.0021,6,8839.729055
-2.00105,2,8855.081451
-2.00555,5,8891.195316
-2.0066,8,8946.845078
-2.00675,4,8978.769691
-2.00085,2,8996.124622
-2.01205,10,9065.82601
-2.0029,3,9086.992496
-2.00675,7,9137.191917
-2.0074,5,9175.837536
-2.0054,6,9223.257159
-2.01425,6,9271.245883
-2.00185,2,9286.457911
-2.00185,3,9309.102441
-2.00165,2,9322.345724
-2.0041,3,9340.904433
-2.00615,4,9373.335861
-2.00145,2,9386.540732
-2.0037,4,9414.70444
-2.00125,2,9429.684179
-2.008,6,9481.785779
-2.00145,2,9499.143833
-2.0103,7,9550.521102
-2.00225,2,9567.615851
-2.0025,5,9603.425851
-2.0196,9,9671.338637
-2.0037,4,9701.441316
-2.00125,4,9734.028291
-2.0116,9,9798.528654
-2.0062,5,9839.030217
-2.0029,3,9858.960976
-2.0057,3,9880.074958
-2.0111,8,9938.227902
-2.0087,7,9991.355428
-2.00795,5,10029.715371
-1.99995,3,10054.620146
-2.0053,3,10075.719934
-2.00495,4,10099.193267
-2.00925,6,10145.847564
-2.0135,10,10213.812727
-2.00635,4,10243.05646
-2.01295,10,10312.233539
-2.00435,4,10341.935622
-2.00435,5,10377.507123
-2.00165,2,10394.770824
-2.00555,6,10440.924623
-2.0123,9,10508.643246
-2.0075,7,10561.753002
-2.0029,3,10586.27474
-2.0021,3,10610.659478
-2.00625,7,10660.941824
-2.0066,5,10698.590478
-2.00085,4,10722.025118
-2.0058,7,10770.367115
-2.0037,4,10803.250724
-2.009,7,10860.464255
