#{"t_start": 1769913444.6572013, "env_id": "None"}
r,l,t
-2.00145,2,7965.972918
-2.00725,8,8022.210892
-2.00315,4,8054.928647
-2.01025,7,8099.389239
-2.00185,3,8121.831616
-2.02025,10,8191.529239
-2.00725,10,8260.754797
-2.0037,3,8286.997918
-2.0021,3,8311.650696
-2.00165,2,8326.676391
-2.00205,6,8368.53505
-2.00185,2,8383.803104
-2.00725,6,8427.726061
-2.00165,2,8440.934652
-2.00105,2,8456.214958
-2.00185,2,8473.219714
-2.0198,13,8564.408555
-2.00555,6,8611.911783
-2.00735,5,8650.343612
-2.00145,4,8680.462066
-2.00195,5,8718.561723
-2.01455,15,8826.077492
-2.0219,11,8911.395672
-2.00525,6,8954.195146
-2.0041,3,8974.60755
-2.00555,7,9025.976811
-2.00205,3,9048.715885
-2.01715,9,9112.670862
-2.00205,2,9125.618428
-2.0123,8,9190.903523
-2.00185,5,9230.716382
-2.0021,4,9260.954485
-2.0017,3,9282.123422
-2.00225,2,9299.303449
-2.0114,8,9358.192243
-2.0125,11,9437.230511
-2.00795,4,9467.397659
-2.0061,4,9504.790317
-2.02735,12,9593.649321
-2.00225,2,9610.949193
-2.005,6,9651.833536
-2.0058,5,9691.663055
-2.00795,4,9720.186819
-2.01855,8,9778.998686
-2.0041,3,9804.53545
-2.0025,3,9827.071498
-2.00225,6,9869.847858
-2.0033,3,9892.862073
-2.0075,8,9951.003339
-2.00555,5,9987.201831
-2.0098,5,10025.202141
-2.0025,3,10050.076029
-2.01575,8,10107.449131
-2.0049,3,10130.609783
-2.00375,10,10198.720608
-2.0017,3,10219.409909
-2.0255,15,10322.781314
-2.01165,7,10370.975548
-2.00265,2,10390.623888
-2.0082,5,10429.105679
-2.00125,4,10459.192024
-2.0049,3,10481.944155
-2.0098,6,10527.346033
-2.00205,2,10542.129812
-2.0111,7,10599.125388
-2.0058,6,10643.682171
-2.00225,3,10666.21538
-2.0287,15,10766.142562
-2.00555,4,10799.074613
-2.00305,2,10816.280111
-2.00675,5,10852.72125
-2.00285,2,10876.415383
-2.00875,8,10946.247269
-2.00795,4,10976.786422
-2.00725,6,11021.931067
-2.0033,3,11043.402046
-2.00435,6,11088.662602
-2.01125,6,11131.490227
-2.00205,3,11153.820913
-2.0021,3,11171.915384
-2.00125,3,11196.61486
-2.0082,6,11239.289417
-2.00795,4,11268.979545
-2.0074,6,11315.196945
-2.00105,4,11345.600309
-2.00245,2,11362.720367
-2.0053,3,11385.241558
-2.00725,6,11436.653862
-2.00205,2,11452.183884
-2.0042,8,11509.088392
-2.01425,6,11555.238435
-2.00245,2,11570.365688
-2.0082,5,11608.631431
-2.0106,6,11656.8951
-2.00675,4,11682.530492
-2.00485,11,11759.251159
-2.009,6,11807.095342
-2.005,6,11848.331728
-2.00375,4,11873.993421
-2.00085,5,11911.561998
-2.0087,8,11978.33969
-2.02205,10,12047.09572
-2.00225,3,12072.327029
-2.0021,5,12107.833293
-2.00245,2,12124.787898
-2.00495,4,12156.874808
-2.01625,9,12215.19173
-2.01325,6,12255.807358
-2.00145,2,12275.165634
-2.00225,3,12299.992526
-2.0122,5,12333.088168
-2.00725,6,12373.245599
-2.00435,6,12420.954032
-2.0033,8,12480.633262
-2.00205,3,12508.213636
-2.0037,4,12540.361536
-2.0058,5,12575.931901
-2.00795,4,12606.16791
-2.02035,12,12688.787524
-2.01225,6,12733.428932
-2.01385,6,12778.257182
-2.00735,11,12862.78793
-2.00145,3,12883.617008
-2.01325,9,12948.912276
-2.0061,3,12978.145915
-2.00145,2,12993.230862
-2.00675,5,13026.327866
-2.0106,6,13069.944541
-2.0159,7,13124.413462
-2.00615,4,13152.882822
-2.00145,2,13174.887154
-2.00555,4,13203.575784
-2.0061,5,13241.426466
-2.00205,4,13271.260691
-2.00325,6,13319.852003
-2.00205,2,13334.986377
-2.00165,3,13361.343066
-2.00675,4,13389.235173
-2.00615,5,13428.880809
-2.00495,4,13461.229826
-2.00495,6,13506.691288
-2.00205,3,13531.543003
